# LAB = 1 - N = 256 - CODE = original - COMPILER: gcc-9, clang-10
# OBJ = combinar distintas optimizaciones y flags.
# CPU = desktop
Flags,Gflops_Vel,Gflops_Force,Gflops_Verlet,Gflops_total
gcc, -O1 -march=native -ffast-math,0.696948,2.780597,0.022745,0.029135
gcc, -O1 -march=native -ffast-math,0.610169,2.457185,0.023419,0.029993
gcc, -O1 -march=native -ffast-math,0.576541,2.376015,0.021088,0.027008
gcc, -O1 -march=native -ffast-math,0.640106,2.58129,0.020251,0.025938
gcc, -O1 -march=native -ffast-math,0.640495,2.578222,0.020172,0.02584
gcc, -O1 -march=native -ffast-math,0.555013,2.262183,0.020088,0.025735
gcc, -O1 -march=native -ffast-math,0.629708,2.499544,0.020057,0.025698
gcc, -O1 -march=native -ffast-math,0.546272,2.230547,0.020136,0.025795
gcc, -O1 -march=native -ffast-math,0.530467,2.183787,0.020143,0.025803
gcc, -O1 -march=native -funroll-loops,0.601878,2.171488,0.017324,0.022265
gcc, -O1 -march=native -funroll-loops,0.606359,2.138914,0.017181,0.022089
gcc, -O1 -march=native -funroll-loops,0.554518,2.013614,0.017283,0.022218
gcc, -O1 -march=native -funroll-loops,0.586145,2.097996,0.017162,0.022063
gcc, -O1 -march=native -funroll-loops,0.555446,1.993155,0.017174,0.022079
gcc, -O1 -march=native -funroll-loops,0.591778,2.112037,0.01726,0.022184
gcc, -O1 -march=native -funroll-loops,0.547482,1.983386,0.01715,0.022049
gcc, -O1 -march=native -funroll-loops,0.584244,2.111165,0.017337,0.022285
gcc, -O1 -march=native -funroll-loops,0.606246,2.182986,0.01721,0.022125
gcc, -O1 -march=native -funroll-loops,0.554512,2.016375,0.017162,0.022064
gcc, -O1 -march=native -floop-block,0.630207,2.20726,0.017145,0.022042
gcc, -O1 -march=native -floop-block,0.631744,2.208637,0.017134,0.022028
gcc, -O1 -march=native -floop-block,0.59529,2.100224,0.017119,0.022007
gcc, -O1 -march=native -floop-block,0.619571,2.188013,0.015204,0.019593
gcc, -O1 -march=native -floop-block,0.574171,2.060203,0.017196,0.022106
gcc, -O1 -march=native -floop-block,0.552678,1.975358,0.01711,0.021997
gcc, -O1 -march=native -floop-block,0.535437,1.941628,0.017074,0.021951
gcc, -O1 -march=native -floop-block,0.564578,2.009854,0.017238,0.022155
gcc, -O1 -march=native -floop-block,0.605738,2.128774,0.017128,0.022019
gcc, -O1 -march=native -floop-block,0.588244,2.085217,0.017094,0.021977
gcc, -O1 -march=native -ffast-math -funroll-loops,0.633387,2.679496,0.020933,0.026794
gcc, -O1 -march=native -ffast-math -funroll-loops,0.6265,2.673116,0.020909,0.026766
gcc, -O1 -march=native -ffast-math -funroll-loops,0.682306,2.838169,0.025275,0.032352
gcc, -O1 -march=native -ffast-math -funroll-loops,0.5611,2.689758,0.025214,0.032277
gcc, -O1 -march=native -ffast-math -funroll-loops,0.602282,2.587791,0.024224,0.031005
gcc, -O1 -march=native -ffast-math -funroll-loops,0.593438,2.545282,0.024263,0.031056
gcc, -O1 -march=native -ffast-math -funroll-loops,0.559532,2.414893,0.021339,0.027312
